citation,agency,organization,journal,university,book
"Bredehoeft, J., C. Fredrick, and M. King. “Groundwater Flow Through the Funeral Mountains, Death Valley National Park, California.” Vol. 1. Proceedings of the 12th International High-Level Radioactive Waste Management Conference, Las Vegas, Nevada, September 7–11, 2008. American Nuclear Society. pp 5–13. 2008. ",,,Proceedings of the 12th International High-Level Radioactive Waste Management Conference,,
"Lapidus, L. and N.R. Amundsen. “Mathematics of Adsorption in Beds, IV, The Effect of Longitudinal Diffusion in Ion-Exchange and Chromatographic Columns.” The Journal of Physical Chemistry. Vol. 56. 984p. 1952. ",,,The Journal of Physical Chemistry,,
"16 U.S.C. 410aaa. Timbisha Shoshone Homeland Act § 5, Pub. L. 106-423, Nov. 1, 2000, 114 Stat. 1875; 16 U.S.C. 410aaa note. ",US Code,,,,
"59 FR 7629. “Executive Order 12898: Federal Actions to Address Environmental Justice in Minority Populations and Low-Income Populations.” Federal Register. Executive Office of the President. Washington, D.C. 1994. ",Federal Register,,,,
"66 FR 55732. “Disposal of High-level Radioactive Wastes in a Proposed Geologic Repository at Yucca Mountain, NV.” Federal Register. Washington, DC: U.S. Nuclear Regulatory Commission. 2001. ",Federal Register,,,,
"69 FR 52040. “Policy Statement on the Treatment of Environmental Justice Matters in NRC.” Regulatory and Licensing Actions. ML14121A540. Federal Register. Washington, DC: U.S. Nuclear Regulatory Commission. 2004. ",Federal Register,,,,
"70 FR 53,313. “Implementation of a Dose Standard After 10,000 Years: Proposed Rule.” Federal Register. Washington, DC: U.S. Nuclear Regulatory Commission. 2005. ",Federal Register,,,,
"70 FR 2664. “Final Information Quality Bulletin for Peer Review: Final bulletin.” Federal Register. Washington, DC. Office of Management and Budget, Executive Office of the President. 2005. ",Federal Register,,,,
"71 FR 60490. “Supplement to the Final Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, NV.” Federal Register. Washington, DC: Department of Energy. 2006. ",Federal Register,,,,
"74 FR 10811. “10 CFR Part 63: Implementation of a Dose Standard After 10,000 Years; Final Rule.” Federal Register. Washington, DC: U.S. Nuclear Regulatory Commission. 2009. ",Federal Register,,,,
"79 FR 78241. “Record of Decision for the Continued Operation of the Department of Energy/National Nuclear Security Administration Nevada National Security Site and Off-Site Locations in the State of Nevada.” Federal Register. Department of Energy, National Nuclear Security Administration. 2014. <http://www.federalregister.com/Browse/AuxData/2221DD1C5106-40B0-853C-CDAEAE60D65C> ",Federal Register,,,,
"80 FR 13029. “Department of Energy, Yucca Mountain, Nye County, Nevada, Docket No. NRC–2015–0051: Intent to Prepare a Supplement to a Final Supplemental Environmental Impact Statement.” Federal Register. Washington, DC. U.S. Nuclear Regulatory Commission. 2015. <http://www.gpo.gov/fdsys/pkg/FR-2015-03-12/pdf/2015-05578.pdf> ",Federal Register,,,,
"80 FR 50875. “Department of Energy, Yucca Mountain, Nye County, Nevada, Docket No. NRC–2015–0051: Draft supplement to environmental impact statements; availability.” Washington, DC. U.S. Nuclear Regulatory Commission. 2015. <http://www.gpo.gov/fdsys/pkg/FR-2015-08-21/pdf/2015-20638.pdf> ",Federal Register,,,,
"80 FR 56501. “Department of Energy, Yucca Mountain, Nye County, Nevada, Docket No. NRC–2015–0051: Draft Supplement to Environmental Impact Statements; Extension of Comment Period, Public Meeting, and Correction.” Washington, DC. U.S. Nuclear Regulatory
Commission. 2015. <http://www.gpo.gov/fdsys/pkg/FR-2015-09-18/pdf/2015-23510.pdf>",Federal Register,,,,
"Amargosa Valley Area Plan. “Prepared by Amargosa Valley Area Plan Committee for the Nye County Board of Commissioners.” ML16096A473. Draft dated June 25, 2009. <http://docplayer.net/5512609-Amargosa-valley-area-plan-adopted-by-the-nye-county-board-ofcounty-commissioners-on-month-day-2009.html> (accessed March 21, 2016). ",Nye County Board of Commissioners,,,,
"Beck, D.A. and P.A. Glancy. “Overview of Runoff of March 11, 1995, in Fortymile Wash and Amargosa River, Southern Nevada.” U.S. Geological Survey Fact Sheet FS-210-95. ML15211A610. Reston, Virginia: U.S. Geological Survey. 4 p. 1995. ",USGS,,,,
"Belcher, W.R., ed. “Death Valley Regional Ground-Water Flow System, Nevada and California—Hydrogeologic Framework and Transient Ground-Water Flow Model.” Scientific Investigations Report 2004–5205. Reston, Virginia: U.S. Geological Survey. 2004. ",USGS,,,,
"Belcher, W.R. and D.S. Sweetkind, eds. “Death Valley Regional Groundwater Flow System, Nevada and California—Hydrogeologic Framework and Transient Groundwater Flow Model.” Reston, Virginia: U.S. Geological Survey Professional Paper 1711. 398 p. 2010. ",USGS,,,,
"Belcher, W.R., J.S. Stuckless, and S.C. James. “The Saturated Zone Hydrology of Yucca Mountain and the Surrounding Area, Southern Nevada and Adjacent Areas of California, USA.” J.S. Stuckless, ed. Hydrology and Geochemistry of Yucca Mountain and Vicinity, Southern Nevada and California: Geological Society of America Memoir 209. pp. 73–142. 2012. ",,,,,Book
"Belcher, W.R., C.C. Faunt, and F.A. D’Agnese. “Three Dimensional Hydrogeologic Framework Model for Use With a Steady-State Numerical Ground-Water Flow Model of the Death Valley Regional Flow System, Nevada and California.” U.S. Geological Survey Water-Resources Investigations Report 01–4254. Denver, Colorado: U.S. Geological Survey. 87 p. 2002. ",USGS,,,,
"Bertetti, F.P. and J. Prikryl. “Mineralogy and Geochemistry of Well Cuttings from Selected Early Warning Drilling Project Wells in Fortymile Wash.” ML040350688. San Antonio, Texas: Center for Nuclear Waste Regulatory Analyses. 2003. ",,Organization,,,
"BLM. Draft “Resource Management Plan/Environmental Impact Statement.” Las Vegas and Pahrump Field Offices. Las Vegas, Nevada: Southern Nevada District Office. Bureau of Land Management. 2014. <https://eplanning.blm.gov/epl-frontoffice/projects/lup/2900/49585/53975/Draft_RMP_EIS_September_2014_Version_5.pdf> (Accessed July 28, 2015) ",US DOI BLM,,,,
_____. “Final Programmatic Environmental Impact Statement (PEIS) for Solar Energy Development in Six Southwestern States.” EIS-0403. Bureau of Land Management. 2012a. <http://solareis.anl.gov/documents/fpeis/index.cfm> ,US DOI BLM,,,,
"_____. “Approved Resource Management Plan Amendments/Record of Decision (ROD) for Solar Energy Development in Six Southwestern States.” Pahrump, Nevada: Bureau of Land Management. 2012b. <http://solareis.anl.gov/documents/docs/Solar_PEIS_ROD.pdf)> ",US DOI BLM,,,,
"Environmental Impact Statement.” FES 12-33. Reno, NV: Bureau of Land Management, Nevada State Office. 2012c. <http://www.blm.gov/nv/st/en/prog/planning/groundwater_projects/snwa_groundwater_project/fi nal_eis.html> (accessed 15 March 2016). ",US DOI BLM,,,,
"_____. “Final Environmental Impact Statement for the Amargosa Farm Road Solar Energy Project (NVN-084359).” BLM/NV/PA/ES-10/16+1793, DOI No. FES 10-53. Bureau of Land Management. Pahrump, Nevada: 2010. <http://www.blm.gov/nv/st/en/fo/lvfo/blm_programs/energy/proposed_solar_millenium/final_eis.h tml> (8 May 2015). ",US DOI BLM,,,,
"BRC. “Blue Ribbon Commission on America’s Nuclear Future Final Report.” Report to the Secretary of Energy, January 2012. L.H. Hamilton and B. Scowcroft, co-chairmen of Blue Ribbon Commission. Washington, D.C. ML120970375. 2012. <http://energy.gov/sites/prod/files/2013/04/f0/brc_finalreport_jan2012.pdf.> ",,Organization,,,
"Bredehoeft, J. and M. King. “Research Program for Evaluation of Yucca Mountain Nuclear Waste Repository Site.” ML15342A025. Memorandum (October 10, 2015) to Inyo County Yucca Mountain Repository Assessment Office. Attachment 1 to Inyo County comments dated November 15, 2015. ",Inyo County Yucca Mountain Repository Assessment Office,,,,
"Brooks, L.E., M.D. Masbruch, D.S. Sweetkind, and S.G. Buto. “Steady-state Numerical Groundwater Flow Model of the Great Basin Carbonate and Alluvial Aquifer System.” U.S. Geological Survey Scientific Investigations Report 2014-5213. 124 p. 2 plates. 2014. <http://dx.doi.org/10.3133/sir20145213> ",USGS,,,,
"Bryce, S.A., A.J. Woods, J.D. Morefield, J.M. Omernik, T.R. McKay, G.K. Brackley, R.K. Hall, D.K. Higgins, D.C. McMorran, K.E. Vargas, E.B. Petersen, D.C. Zamudio, and J.A. Comstock. “Ecoregions of Nevada”. Reston, Virginia: U.S. Geological Survey. (color poster with map, descriptive text, summary tables, and photographs): (map scale 1:1,350,000). 2003. <ftp://ftp.epa.gov/wed/ecoregions/nv/nv_front.pdf> ",USGS,,,,
CEQ. “Considering Cumulative Effects Under the National Environmental Policy Act.” ML12243A349. Council on Environment Quality. 1997. ,US Council on Environmental Quality,,,,
"Comer, P., P. Crist, M. Reid, J. Hak, H. Hamilton, D. Braun, G. Kittel, I. Varley, B. Unnasch, S. Auer, M. Creutzburg, D. Theobald, and L. Kutner. “Mojave Basin and Range Rapid Ecoregional Assessment Report.” ML15211A622. Prepared for the U.S. Department of the
Interior, Bureau of Land Management. 173 pp + Appendices. 2013.
<http://www.blm.gov/style/medialib/blm/wo/Communications_Directorate/public_affairs/landscap
e_approach/documents1.Par.99875.File.dat/MBR_1_ReportBody.pdf>",US DOI BLM,,,,
"Czarnecki, J.B. and D.I. Stannard. “Geohydrology and Evapotranspiration at Franklin Lake Playa, Inyo County, California.” Inyo County, California: U.S. Geological Survey Water-Supply Paper 2377. 75 p. 1997. ",USGS,,,,
"D’Agnese, F.A., D’ Agnese, G.M. O’Brien, C.C. Faunt, and C.A. San Juan. “Simulated Effects of Climate Change on the Death Valley Regional Ground-Water Flow System, Nevada and California.” Water-Resources Investigations Report 98-4041. ML15160A597. Denver, Colorado: U.S. Geological Survey. 1999. ",USGS,,,,
"Davisson and Associates. “Constraints of the Recharge Sources Flow Paths and Ages of Groundwater in the Amargosa River Valley Using Stable Isotope, Water Quality, and Noble Gas Data.” ML15342A025. Contractor Report. 26 p. Appendix C of Zdon and Associates (2015). Attachment 1 to Inyo County comments dated November 15, 2015. 2014. ",,Organization,,,
Digital Desert. “Ecological Sections: Mojave Desert.” 2015. <http://digitaldesert.com/ecosections/322a.htm> (accessed 16 June 2015) ,,Organization,,,
"DOE. “Analysis of Postclosure Groundwater Impacts for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada.” RWEP-REP-001-Update. ML14303A399. U.S. Department of Energy. 2014a. ",US DOE,,,,
"_____. “NRC, Response to the NRC’s November 18, 2013 Request Concerning the Supplemental Environmental Impact Statement.” ML14311A167. Letter (November 18) to Josephine Piccone, (NRC) from W. Boyle, (DOE). 2014b. ",US DOE,,,,
_____. “Record of Decision Record of Decision for the Continued Operation of the Department of Energy/National Nuclear Security Administration Nevada National Security Site and Off-Site Locations in the State of Nevada.” 79 Federal Register 78421. 2014c. ,US DOE,,,,
"_____. “Final Site-Wide Environmental Impact Statement for the Continued Operation of the Department of Energy/National Nuclear Security Administration Nevada National Security Site and Off-Site Locations in the State of Nevada.” DOE/EIS-0426. ML15211A631. Las Vegas, Nevada. U.S. Department of Energy, NNSA Nevada Site Office. 2013a. ",US DOE,,,,
"_____. “Strategy for the Management and Disposal of Used Nuclear Fuel and High-Level Radioactive Waste.” ML13011A138. Washington, DC: U.S. Department of Energy. 2013b. ",US DOE,,,,
"_____. “Department of Energy FY 2011 Congressional Budget Request, Budget Highlights.” DOE/CF-0046. Washington, DC: U.S. Department of Energy. DOE Office of the Chief Financial Officer. 2010. <http://energy.gov/sites/prod/files/FY11Highlights.pdf> ",US DOE,,,,
"_____. RWEP-REP-001, “Analysis of Postclosure Groundwater Impacts for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada.” ML092150328. Washington, DC: U.S. Department of Energy. 2009a. ",US DOE,,,,
"_____. “NRC, re Final Programmatic Agreement.” Letter to Jeffrey Clark, U.S. Department of Energy, Office of Civilian Radioactive Waste Management from W. Boyle, (DOE). ML091480066. 2009b. ",US DOE,,,,
"_____. DOE/EIS-0250F-S1, “Final Supplemental Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada.” ML081750191. Washington, DC: U.S. Department of Energy, Office of Civilian Radioactive Waste Management. 2008a. ",US DOE,,,,
"_____. DOE/RW–0573, “Yucca Mountain Repository License Application: Safety Analysis Report.” ML081560400. ML090700817. Las Vegas, Nevada: U.S. Department of Energy, Office of Civilian Radioactive Waste Management. U.S. Department of Energy. 2008b. ",US DOE,,,,
"_____. DOE/EIS-0250, “Final Environmental Impact Statement for a Geologic Repository for the Disposal of Spent Nuclear Fuel and High-Level Radioactive Waste at Yucca Mountain, Nye County, Nevada.” ML032690321. U.S. Department of Energy, Office of Civilian Radioactive Waste Management. U.S. Department of Energy. 2002. ",US DOE,,,,
"_____. “Focused Evaluation of Selected Remedial Alternatives for the Underground Test Area.” DOE/NV-465 (UC-700). Las Vegas, Nevada: U.S. Department of Energy. 1997. ",US DOE,,,,
"Eakin, T.E., D. Price, and J.R. Harrill. “Summary Appraisals of the Nation’s Ground-Water Resources—Great Basin Region.” U.S. Geological Survey Professional Paper 813–G. 37p. 1976. <http://pubs.er.usgs.gov/publication/pp813G> ",USGS,,,,
"Eisler, R. “Molybdenum Hazards to Dish, Wildlife, and Invertebrates: A Synoptic Review.” Biological Report 85 (1.19). ML15212A086. M.D. Laurel. Patuxent Wildlife Research Center. U.S. Fish and Wildlife Service. 1989. ",US FWS,,,,
"EPA. “Regional Screening Levels for Chemical Contaminants at Superfund Sites.” Washington, DC. U.S. Environmental Protection Agency. “User Guide” 2015. <http://www.epa.gov/reg3hwmd/risk/human/rb-concentration_table/usersguide.htm> “Generic Screening Level Tables” <http://www.epa.gov/reg3hwmd/risk/human/rbconcentration_table/Generic_Tables/index.htm> (accessed July 18, 2015). ",Environmental Protection Agency,,,,
"_____. “National Recommended Water Quality Criteria.” Washington, DC. U.S. Environmental Protection Agency. 2014. <http://water.epa.gov/scitech/swguidance/standards/criteria/current/index.cfm> (accessed 24 June 2015). ",Environmental Protection Agency,,,,
"_____. “Ecological Soil Screening Levels for Nickel”. Interim Final, OSWER Directive 9285.7 76. Washington, DC. U.S. Environmental Protection Agency. 2007. <http://www.epa.gov/ecotox/ecossl/pdf/eco-ssl_nickel.pdf> (accessed 26 June 2015). ",Environmental Protection Agency,,,,
"_____. “Ecological Soil Screening Levels for Vanadium.” Interim Final, OSWER Directive 9285.7-75. Washington, DC. U.S. Environmental Protection Agency. 2005. <http://www.epa.gov/ecotox/ecossl/pdf/eco-ssl_vanadium.pdf> (accessed 26 June 2015). ",Environmental Protection Agency,,,,
"_____. “Release of Guidance for Developing Ecological Soil Screening Levels (Eco-SSLs) and Eco-SSLs for Nine Contaminants.” Memorandum from M.L. Horinko to Superfund National Policy Managers, Regions 1–10, RCRA Senior Policy Advisors. Regions 1–10. OSWER 9285.7-55. Washington, DC. U.S. Environmental Protection Agency. 2003. ",Environmental Protection Agency,,,,
"_____. “Molybdenum; CASRN 7439-98-7.” IRIS (Integrated Risk Information System). Washington, DC. U.S. Environmental Protection Agency. 1999a. <http://www.epa.gov/iris/subst/0425.htm> (accessed 10 June 1999). ",Environmental Protection Agency,,,,
"_____. “Nickel, Soluble Salts; CASRN Various.” IRIS (Integrated Risk Information System). Washington, D.C. U.S. Environmental Protection Agency. 1999b. <http://www.epa.gov/iris/subst/0271.htm> (accessed 10 June 1999). ",Environmental Protection Agency,,,,
"_____. “Consideration of Cumulative Impacts in EPA Review of NEPA Documents.” ML040081036. Washington, DC: U.S. Environmental Protection Agency. 1999c. ",Environmental Protection Agency,,,,
"_____. “Federal Guidance Report No. 13, Cancer Risk Coefficients for Environmental Exposure to Radionuclides.” EPA 402-R-99-001. Washington DC: U.S. Environmental Protection Agency. 1999d. <http://www2.epa.gov/sites/production/files/2015-05/documents/402-r-9900l.pdf>. ",Environmental Protection Agency,,,,
"_____. “Food Ingestion Factors. Volume II of Exposure Factors Handbook.” EPA/600/P95/002F. Washington, DC: U.S. Environmental Protection Agency. 1997a. ",Environmental Protection Agency,,,,
"_____. “Health Effects Assessment, Summary Tables, FY-1997 Update.” EPA 540/R-97-036. Washington, DC: U.S. Environmental Protection Agency. 1997b. ",Environmental Protection Agency,,,,
"_____. “Soil Screening Guidance: Technical Background Document.” EPA/540/R-95/128. Washington, DC: U.S. Environmental Protection Agency. 1996. ",Environmental Protection Agency,,,,
"_____. “Health Effects Assessment Summary Tables, FY-1994 Annual.” EPA 540-R-94-020. Washington, DC: U.S. Environmental Protection Agency. 1994. ",Environmental Protection Agency,,,,
"Faunt, C.C., F.A. D’Agnese, and G. O’Brien. “Chapter D: Hydrology.” W.R. Belcher and D.S. Sweetkind, eds. “Death Valley Regional Groundwater Flow System, Nevada and California—Hydrogeologic Framework and Transient Groundwater Flow Model.” U.S. Geological Survey Professional Paper 1711. pp. 133–160. 2010a. ",USGS,,,,
"Faunt, C.C, J.B. Blainey, M.C. Hill, F.A. D’Agnese, and G.M. O’Brien. “Chapter F: Transient Numerical Model.” W.R. Belcher and D.S. Sweetkind, eds. “Death Valley Regional Groundwater Flow System, Nevada and California—Hydrogeologic Framework and Transient Groundwater Flow Model.” U.S. Geological Survey Professional Paper 1711. pp. 251–344. 2010b ",USGS,,,,
"Fridrich, C.J., R.A. Thompson, J.L. Slate, M.E. Berry, and M.N. Machette. “Geologic Map of the Southern Funeral Mountains Including Nearby Groundwater Discharge Sites in Death Valley National Park, California and Nevada.” U.S. Geological Survey Scientific Investigations Map 3151, 20 p. pamphlet, 1 sheet, scale 1:50,000. 2012. ",USGS,,,,
"Garfin, G., G. Franco, H. Blanco, A. Comrie, P. Gonzalez, T. Piechota, R. Smyth, and R. Waskom. “Climate Change Impacts in the United States: The Third National Climate Assessment.” J.M. Melillo, Terese (T.C.) Richmond, and G. W. Yohe, eds. U.S. Global Change Research Program. 462–486. doi:10.7930/J08G8HMN. 2014. ",,,,,Book
"Griffith, G.E., J.M. Omernik, D.W. Smith, T.D. Cook, E. Tallyn, K. Moseley, and C.B. Johnson. “Ecoregions of California (color poster with map, descriptive text, and photographs): Menlo Park, California. U.S. Geological Survey (map scale 1:1,100,000). 2011(draft). <ftp://ftp.epa.gov/wed/ecoregions/ca/CA_poster-front_Dec2010_DRAFT_v7.2.pdf> ",USGS,,,,
"Harbaugh, A.W. “MODFLOW-2005, The U.S. Geological Survey Modular Ground-Water Model-the Ground-Water Flow Process.” U.S. Geological Survey Techniques and Methods 6-A16, Chapter 16 of Book 6. Modeling techniques, Section A. Ground Water. 2005. <http://pubs.usgs.gov/tm/2005/tm6A16/> ",,,,,Book
"Harbaugh, J.W., E.R. Banta, M.C. Hill, and M.G. McDonald. “MODFLOW-2000, The U.S. Geological Survey’s Modular Ground-Water Flow Model—User Guide to Modularization Concepts and the Ground-Water Flow Process.” ML15211A635. U.S. Geological Survey Open-File Report 2000–92. 121 p. 2000. ",USGS,,,,
"Helseth, G. Phone call between Christine Pineda, NRC, and Mr. Greg Helseth, Southern Nevada District BLM Renewal Energy Project Manager. ML15216A398. 2015. ",US DOI BLM,,,,
"Hevesi, J.A., A.L. Flint, and L.E. Flint. “Simulation of Net Infiltration and Potential Recharge Using a Distributed Parameter Watershed Model of the Death Valley Region, Nevada and California: U.S. Geological Survey Water-Resources Investigations Report 2003–4090. 91p. 2003. ",USGS,,,,
"Hinck, J.E., G. Linder, S. Finger, E. Little, D. Tillitt, and W. Kuhne. “Biological Pathways of Exposure and Ecotoxicity Values for Uranium and Associated Radionuclides. A.E. Alpine, ed. “Hydrological, Geological, and Biological Site Characterization of Breccia Pipe Uranium Deposits in Northern Arizona.” U.S. Department of the Interior, Geological Survey Scientific Investigations Report 2010–5025. 353 p. 2010. ",US DOI BLM,,,,
"Hunt, C.B.T. and D.R. Mabey. “Stratigraphy and Structure, Death Valley, California.” Washington, DC: U.S. Geological Survey Professional Paper 494-A. 1966. ",USGS,,,,
"IAEA. “Surficial Uranium Deposits.” Report of the Working Group on Uranium Geology. IAEA-TECDOC-322. Vienna, Austria: International Atomic Energy Agency. 236 p. 1984. ",,Organization,,,
"ICRP. “The 2007 Recommendations of the International Commission on Radiological Protection.” J . Valentin, ed. ICRP Publication 103. Ann. ICRP 37 (2-4). 2007. <http://www.elsevier.com/wps/find/bookdescription.cws_home/713998/description#description> ",,,,,Book
Inyo County. “Inyo County Reports on Death Valley Lower Carbonate Aquifer Monitoring Program—Wells Down Gradient of the Proposed Yucca Mountain Nuclear Waste Repository.” ML081070525. 2007. ,Inyo County,,,,
"Jensen, M., J. Bredehoeft, and T. Fiske. “Water Use in the Furnace Creek Area of Death Valley. ML15342A025. Report, contained in Attachment 1, Inyo County Comments on draft supplement (dated November 17, 2015). 2004. ",Inyo County,,,,
"Kalinina, E.A. and B.W. Arnold. “Potential Impacts of Irrigation Recycling on the Repository Performance.” Proceedings of the 14th International High-Level Radioactive Waste Management Conference, Albuquerque, New Mexico, April 28–May 2, 2013. La Grange Park, Illinois. American Nuclear Society. 2013. ",,Organization,,,
"Kilroy, K.C. “Ground-Water Conditions in Amargosa Desert, Nevada-California, 1952-87.” Water-Resources Investigations Report 89-4101. Carson City, Nevada. ",USGS,,,,
"LaCamera, R.J., G.L. Locke, and A.M. Habte. “Selected Ground-Water Data for Yucca Mountain Region, Southern Nevada and Eastern California, January-December 2003.” Open-File Report 2005-1286. ML15212A002. Carson City, Nevada: U.S. Geological Survey. 2005. ",USGS,,,,
"Laczniak R.J., J.L. Smith, P.E. Elliot, G.A. DeMeo, and M.A. Chatigny. “Ground-Water Discharge Determined from Estimates of Evapotranspiration, Death Valley Regional Flow System, Nevada and California.” Water-Resources Investigations Report 01-4195. Carson City, Nevada: U.S. Department of the Interior U.S. Geological Survey. 2001. ",USGS,,,,
"Laczniak R.J., J.L. Smith, P.E. Elliot, G.A. DeMeo, M.A. Chatigny. “Estimates of Ground-Water Discharge as Determined From Measurements of Evapotranspiration, Ash Meadows Area, Nye County, Nevada. Water-Resources Investigations Report 99-4079. Carson City, Nevada: U.S. Department of the Interior U.S. Geological Survey. 1999. ",USGS,,,,
"Levich, R.A., R.M. Linden, R.L. Patterson, and J.S. Stuckless. “Hydrologic and Geologic Characteristics of the Yucca Mountain Site Relevant to the Performance of a Potential Repository.” In Great Basin and Sierra Nevada. Geological Society of America Guidebook Series. D.R. Lageson, S.G. Peters, and M.M. Lahren, eds. Boulder, Colorado: Geological Society of America. pp 383–414. 2000.",,,,,Book
"Lincoln County. Phillips, K.J., “Request for Scoping of Issues to be Addressed in Supplemental Environmental Impact Statement for the Proposed Yucca Mountain Geologic Repository.” ML15030A043. Letter (January 20) to S.G. Burns, (NRC). 2015. ",US Nuclear Regulatory Commission,,,,
"MacMahon, J.A. “Chapter 8, Warm Deserts.” M.G. Barbour and W.D. Billings, ed. North American Terrestrial Vegetation. 2nd Edition. Cambridge, United Kingdom: Press Syndicate of the University of Cambridge. 2000. ",,,,,Book
"Melillo, J.M., T.C. Richmond, and G.W. Yohe, eds. “Climate Change Impacts in the United States: The Third National Climate Assessment.” U.S. Global Change Research Program. 841p. doi:10.7930/J0Z31WJ2. 2014. <http://nca2014.globalchange.gov/downloads>. ",US Global Climate Change Research Program,,,,
"Menges, C.M. “Chapter 3: Multistage Late Cenozoic Evolution of the Amargosa River Drainage, Southwestern Nevada and Eastern California.” M.C. Reheis, R. Hershler, and D.M. Miller, ed. Late Cenozoic Drainage History of the Southwestern Great Basin and Lower Colorado River Region: Geologic and Biotic Perspectives: Geological Society of America Special Paper 439. 2008. ",,,,,Book
"Moreo, M.T. and L. Justet. “Update to the Ground-Water Withdrawals Database for the Death Valley Regional Ground-Water Flow System, Nevada and California, 1913–2003.” Data Series 340. Reston, Virginia: U.S. Geological Survey. 2008. ",USGS,,,,
NAS. “Technical Bases for Yucca Mountain Standards.” National Academy of Sciences. ISBN: 0-309-58818-9. 222p. 1995. ,,,,,Book
"NDWR. “Pumpage Inventories.” ML15212A003. Nevada Division of Water Resources. 2015. http://water.nv.gov/data/pumpage/?basin=230, <http://water.nv.gov/data/pumpage/?basin=162, http://water.nv.gov/data/pumpage/?basin=170.> (accessed date 22 July 2015). ",Nevada Division of Water Resources,,,,
"NDEP. “Hazardous Waste Management RCRA Permit NEVHW0025, December 2011, US Ecology Nevada, Inc. Beatty, Nevada, EPA ID# NVT330010000.” ML15212A004. State of Nevada Department of Conservation and Natural Resources, Division of Environmental Protection, Bureau of Waste Management. 2011. <http://ndep.nv.gov/bwm/Docs/usen_final_rcra_permit.pdf)> ",Nevada Division of Environmental Protection,,,,
