author,year,title,container,publisher,doi,url,File,ID
"c(""Harvey"", ""Jurgensen"", ""Larson"", ""Schlieter""); c(""Alan E."", ""Martin F."", ""Michael J."", ""Joyce A."")",1986,Distribution of active ectomycorrhizal short roots in forest soils of the inland Northwest: Effects of site and disturbance. USDA INT-374,,Intermountain Research Station,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,61
"c(""Hiller"", ""McFadden-Hiller"", ""E."", ""Roy"", ""Reed"", ""Johnson""); c(""T.L."", ""J.E."", ""Susan"", ""Bitty A."", ""Jim P."", ""Bart R."")","2013, 2008","Wolverine-forest carnivore research in the northern Holmes, Context-Dependent Pattern and Process: The Distribution and Competitive Dynamics of and Invasive Grass, Brachypodium sylvaticum Biological Invasions",,University of Oregon,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,62
"c(""Hoover"", ""Shannon"", ""Ackerman""); c(""S."", ""L."", ""J."")",2007,The effect of riparian condition on invertebrate drift in mountain streams,Aquatic Sciences,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,63
"c(""Hoover"", ""Pinto"", ""Richardson""); c(""T.M."", ""X."", ""J.S."")",2011,"Riparian canopy type, management history, and successional stage control fluxes of plant litter to streams",Canadian Journal of Forest Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,64
"c(""Janisch"", ""Wondzell"", ""Ehinger""); c(""J.E."", ""S.E."", ""W.J."")","2007, 2012","Headwater stream temperature: Interpreting response after logging, with and without riparian buffers",IPCC 2007 Intergovernmental Panel on Climate Change IPCC Fourth Assessment Report Climate Change 2007 Ecology and Management,Institute for Applied EcologyFalse Brome Working Group Causes of Change IPCC,,http://,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,65
,2001,Wildlife-habitat relationships in Oregon and Washington,,Oregon State University Press Corvallis,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,66
"c(""Johnson"", ""Jones""); c(""S.L."", ""J.A."")",2000,"Stream temperature responses to forest harvest and debris flows in western Cascades, Oregon",Canadian Journal of Fisheries and Aquatic Sciences,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,67
"c(""Johnston"", ""Bird"", ""Hogan"", ""MacIsaac""); c(""N.T."", ""S.A."", ""D.L."", ""E.A."")",2011,"Mechanisms and source distances for the input of large woody debris to forested streams in British Columbia, Canada",Canadian Journal of Forest Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,68
Kay; C.E.,2007,Are lightning fires unnatural? A comparison of aboriginal and lightning ignition rates in the United States,Proceedings of the 23rd Tall Timbers Fire Ecology Conference Fire in Grassland and Shrubland Ecosystems,Tall Timbers Research Station,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,69
Kertis; Jane etal,2007,,,NW Oregon FRCC Workgroup,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,70
"c(""Kiffney"", ""Roni""); c(""P."", ""P."")",2007,"Relationships between Productivity, Physical Habitat, and aquatic Invertebrate and Vertebrate Populations of Forest Streams: An Information-Theoretic Approach",Transactions of the American Fisheries Society,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,71
,2007,Bats in forests: conservation and management,,John Hopkins University Press,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,72
"c(""Lakel"", ""Aust"", ""Bolding"", ""Dolloff"", ""Keyser"", ""Feldt""); c(""W.A."", ""W.M."", ""M.C."", ""C.A."", ""P."", ""R."")",2010,Sediment trapping by streamside management zones of various widths after forest harvest and site preparation,Forest Science,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,73
"Lane County Community Wildfire Protection Plan (CWPP). http://www.co.lane.or.us/Planning/CWPPtoc.htm Legard, Harold A. and Meyer, LeRoy C.",1973,Willamette National Forest Soil Resource Inventory,,Pacific Northwest Region,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,74
"c(""Leonard"", ""Chichester"", ""Richart"", ""Young""); c(""W.P."", ""L."", ""Casey H."", ""T.A."")",2011,"Securicauda hermani and Carinacauda stormi, two new genera and species of slug from the Pacific Northwest of the United States (Gastropoda: Stylommatophora: Arionidae), with notes on Gliabates oregonius Webb 1959",Zootaxa,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,75
"c(""Levno"", ""Rothacher""); c(""A."", ""J."")",1967,Increases in maximum stream temperatures after logging in old-growth Douglas-fir watersheds,Pacific Northwest Forest and Range Experiment Station US Department of Agriculture,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,76
"c(""Liquori"", ""Benda"", ""Ganz"", ""Martin"", ""Coats""); c(""M."", ""L."", ""D."", ""D."", ""R."")",2008,Scientific literature review of forest management effects on riparian functions for anadromous salmonids,Sound Watershed Consulting for the California State Board of Forestry and Fire Protection,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,77
"c(""Macdonald"", ""MacIsaac"", ""Herunter""); c(""J.S."", ""E.A."", ""H.E."")",2003,The effect of variable-retention riparian buffer zones on water temperatures in small headwater streams in sub-boreal forest ecosystems of British Columbia,Canadian Journal of Forest Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,78
"c(""Manning"", ""McComb""); c(""T."", ""B.C."")",2012,Thinning of Young Douglas-fir Forests Decreases Density of Northern Flying Squirrels in the Oregon Cascades,Forest Ecology and Management,,,http://www.sciencedirect.com/science/article/pii/S0378112711006025,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,79
,2003,Birds of Oregon: a general reference,,Oregon State University Press Corvallis,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,80
"c(""Maxwell"", ""Ward""); c(""Wayne G."", ""Franklin R."")",1980,Photo Series for Quantifying Natural Forest Residues in Common Vegetation Types of the Pacific Northwest,USDA USDA Forest Service General Technical Report PNW,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,81
McCain; Cindy,2005,Riparian Plant Communities of Northwest Oregon: Streamside Plant Communities,,US Department of Agriculture OR,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,82
"c(""McCune"", ""Geiser""); c(""Bruce"", ""Linda"")",1997,Macrolichens of the Pacific Northwest,,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,83
"c(""McDade"", ""Swanson"", ""McKee"", ""Franklin"", ""Sickle""); c(""M.H."", ""F.J."", ""W.A."", ""J.F."", ""J.V."")",1990,Source distances for coarse woody debris entering small streams in western Oregon and Washington,Canadian Journal of Forest Research,,,,/Users/lizawood/Documents/Davis/R-Projects/govscienceuseR.github.io/data/reference_extracts/20150055_Goose_Project_Draft_Environmental_Impact_Statement.json,84
